Chromosome,Start,End,Strand,Name,Transcript,ID
chr1,69091,70008,+,OR4F5,1,ENSG00000186092
chr1,138530,139309,-,AL627309.1,1,ENSG00000237683
chr1,367659,368597,+,OR4F29,1,ENSG00000235249
chr1,621096,622034,-,OR4F16,1,ENSG00000185097
chr1,738532,739137,-,AL669831.1,1,ENSG00000269831
chr1,818043,819983,+,AL645608.2,1,ENSG00000269308
chr1,861264,866445,-,AL645608.1,1,ENSG00000268179
chr1,861322,879533,+,SAMD11,5,ENSG00000187634
chr1,880074,894620,-,NOC2L,1,ENSG00000188976
chr1,896074,900571,+,KLHL17,2,ENSG00000187961
chr1,901912,909955,+,PLEKHN1,4,ENSG00000187583
chr1,911552,917497,-,C1orf170,2,ENSG00000187642
chr1,934439,935353,-,HES4,3,ENSG00000188290
chr1,948954,949858,+,ISG15,1,ENSG00000187608
chr1,955553,990361,+,AGRN,2,ENSG00000188157
chr1,1007197,1007946,-,RNF223,1,ENSG00000237330
chr1,1018273,1026923,-,C1orf159,16,ENSG00000131591
chr1,1114596,1133227,+,TTLL10,4,ENSG00000162571
chr1,1138971,1141951,-,TNFRSF18,4,ENSG00000186891
chr1,1146935,1149507,-,TNFRSF4,1,ENSG00000186827
chr1,1152892,1164173,-,SDF4,5,ENSG00000078808
chr1,1167659,1168648,+,B3GALT6,1,ENSG00000176022
chr1,1177928,1182070,-,FAM132A,1,ENSG00000184163
chr1,1190583,1203372,-,UBE2J2,18,ENSG00000160087
chr1,1216042,1226990,+,SCNN1D,7,ENSG00000162572
chr1,1228944,1243195,-,ACAP3,3,ENSG00000131584
chr1,1244024,1246759,+,PUSL1,2,ENSG00000169972
chr1,1247239,1259993,-,CPSF3L,24,ENSG00000127054
chr1,1262291,1263143,+,GLTPD1,2,ENSG00000224051
chr1,1266726,1269844,+,TAS1R3,1,ENSG00000169962
chr1,1271522,1284445,-,DVL1,2,ENSG00000107404
chr1,1288681,1296643,-,MXRA8,4,ENSG00000162576
chr1,1309181,1310136,-,AURKAIP1,4,ENSG00000175756
chr1,1322611,1334686,-,CCNL2,8,ENSG00000221978
chr1,1334932,1336114,+,RP4-758J18.2,5,ENSG00000224870
chr1,1337463,1342597,-,MRPL20,3,ENSG00000242485
chr1,1354480,1356385,-,ANKRD65,5,ENSG00000235098
chr1,1361508,1363167,+,TMEM88B,1,ENSG00000205116
chr1,1371129,1375167,+,VWA1,5,ENSG00000179403
chr1,1386064,1403910,+,ATAD3C,2,ENSG00000215915
chr1,1407265,1431197,+,ATAD3B,2,ENSG00000160072
chr1,1447649,1469452,+,ATAD3A,5,ENSG00000197785
chr1,1470739,1475726,-,TMEM240,2,ENSG00000205090
chr1,1477446,1509937,-,SSU72,2,ENSG00000160075
chr1,1510357,1510659,+,AL645728.1,1,ENSG00000215014
chr1,1534715,1535395,-,C1orf233,1,ENSG00000228594
chr1,1550840,1565910,+,MIB2,20,ENSG00000197530
chr1,1567598,1570001,+,MMP23B,8,ENSG00000189409
chr1,1571126,1588935,-,CDK11B,6,ENSG00000248333
chr1,1597221,1608138,-,SLC35E2B,2,ENSG00000189339
